CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
Average,Steep,SWQuad,Steep,CThruK,Neutral,Average,SigPositive,Weak,CDEJ,PartInhibit,Neutral,Neutral,Weak,Clear,Wet,Neutral,Average,PC,Some,N5GtLIGt_8,E,Strong,WeakUp,,E,OtherRapid,Decreasing,Moderate,Weak,Negative,Neutral,Other,,SIG,Aug20_Sep15,MoistMDryL,Clear,ACEFK,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,Clear,Neutral,,SIG,LowNHighS,Neutral,Stability,DryLine,Average,WidespdDnsl,XNIL
MoreThanAve,Steep,NWQuad,Steep,CThruK,VeryWet,Dry,SigPositive,Weak,CDEJ,TotalInhibit,Neutral,Down,Strong,PC,Neutral,Wet,LessUnstable,PC,Some,N1GtLIGt_4,D,,Neutral,,D,OtherRapid,Increasing,Unfavorable,Weak,WeakPos,Down,StrongWest,,SVR,May15_Jun14,Other,PC,D,SVR,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,PC,Wet,Weak,SVR,LowAtStation,Down,Stability,,MoreThanAve,WidespdDnsl,SVR
MoreThanAve,Steep,LV,ModerateOrLe,CThruK,Dry,Average,PosToNeg,Strong,CDEJ,PartInhibit,Neutral,Down,Weak,Clear,Neutral,Dry,LessUnstable,PC,,N1GtLIGt_4,J,Moderate,WeakUp,,J,NoMajor,LittleChange,Moderate,Weak,Neutral,Down,Other,,SIG,Jun15_Jul1,Other,Clear,GJ,XNIL,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,Clear,VeryWet,,SIG,LowMtsHighPl,Down,Neutral,DryLine,LessThanAve,LV,XNIL
MoreThanAve,ModerateOrLe,SWQuad,ModerateOrLe,AB,VeryWet,Average,NegToPos,,ABI,,Neutral,Neutral,,Clear,Dry,Wet,Average,PC,,N5GtLIGt_8,A,Strong,Down,QStationary,A,MarkedUpper,Increasing,Moderate,Strong,StrongPos,Down,DCVZFavor,PartInhibit,XNIL,May15_Jun14,DryMMoistL,Clear,ACEFK,XNIL,Increasing,Westerly,,MoreUnstable,IncCapDecIns,Clear,Wet,Strong,XNIL,LowMtsHighPl,Down,Instability,DenvCyclone,LessThanAve,DenvCyclone,XNIL
Average,CloseToDryAd,SWQuad,ModerateOrLe,CThruK,Wet,Average,LittleChange,,ABI,PartInhibit,Down,Neutral,,Clear,Wet,Neutral,LessUnstable,PC,,N5GtLIGt_8,I,Strong,Down,QStationary,I,NoMajor,Decreasing,Moderate,Strong,Negative,Down,Other,,XNIL,Jun15_Jul1,DryMMoistL,Clear,HI,XNIL,LittleChange,LVorOther,Weak,LessUnstable,LittleChange,Clear,Neutral,Weak,XNIL,LowSHighN,Down,Stability,E_W_N,Average,DenvCyclone,XNIL
MoreThanAve,CloseToDryAd,NWQuad,Steep,CThruK,Wet,Average,PosToNeg,Strong,CDEJ,PartInhibit,Neutral,Neutral,Strong,Clear,Wet,Wet,MoreUnstable,PC,Marked,N1GtLIGt_4,D,Slight,WeakUp,,D,OtherRapid,Decreasing,Strong,Strong,Neutral,Neutral,StrongWest,Stifling,SIG,May15_Jun14,DryMMoistL,Clear,D,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,Strong,SIG,LowSHighN,Neutral,Instability,,LessThanAve,LV,XNIL
MoreThanAve,ModerateOrLe,NWQuad,Stable,CThruK,Dry,VeryMoist,SigPositive,,K,TotalInhibit,WeakUp,WeakUp,,Clear,VeryWet,Dry,MoreUnstable,PC,,N5GtLIGt_8,K,,Neutral,Moving,K,StrongFront,LittleChange,Unfavorable,,Neutral,Neutral,DCVZFavor,PartInhibit,XNIL,Aug20_Sep15,DryMMoistL,Clear,ACEFK,XNIL,Increasing,Westerly,,MoreUnstable,IncCapDecIns,Clear,Dry,,XNIL,Other,Neutral,Neutral,MovingFtorOt,MoreThanAve,LongAnticyc,XNIL
LessThanAve,CloseToDryAd,SWQuad,Steep,CThruK,Dry,Average,NegToPos,Weak,CDEJ,PartInhibit,StronUp,Neutral,Strong,PC,Wet,Neutral,MoreUnstable,PC,Marked,N1GtLIGt_4,D,Slight,StrongUp,,D,OtherRapid,LittleChange,Unfavorable,Weak,WeakPos,StrongUp,StrongWest,PartInhibit,SIG,Aug20_Sep15,Other,PC,D,XNIL,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,PC,Dry,,SIG,LowSHighN,StrongUp,Instability,,LessThanAve,DenvCyclone,XNIL
MoreThanAve,Steep,SWQuad,Steep,AB,Dry,Average,SigPositive,,ABI,,Neutral,Neutral,,Cloudy,Wet,Dry,LessUnstable,PC,,N1GtLIGt_4,B,,WeakUp,Other,B,MarkedUpper,Increasing,Unfavorable,Weak,Negative,Neutral,StrongWest,Stifling,XNIL,Jul16_Aug10,DryMMoistL,Cloudy,B,XNIL,Increasing,LVorOther,,LessUnstable,IncCapDecIns,PC,Dry,,XNIL,LowNHighS,Neutral,Stability,DenvCyclone,LessThanAve,DenvCyclone,XNIL
MoreThanAve,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,Neutral,Dry,LittleChange,Strong,G,,Neutral,Down,Weak,Clear,Dry,Dry,MoreUnstable,Clear,Marked,N5GtLIGt_8,G,Strong,WeakUp,,G,MarkedUpper,Decreasing,Moderate,,Negative,Down,DCVZFavor,,SVR,Jul2_Jul15,Other,PC,GJ,SIG,Increasing,Westerly,Strong,Average,IncCapDecIns,Clear,VeryWet,,SVR,LowEvrywhere,Down,Stability,,Average,LongAnticyc,SIG
MoreThanAve,ModerateOrLe,SWQuad,Steep,CThruK,Wet,Average,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Down,Strong,PC,Wet,Dry,LessUnstable,PC,Some,N1GtLIGt_4,E,,Down,,E,NoMajor,LittleChange,Weak,Weak,Negative,Down,DCVZFavor,TotalInhibit,XNIL,Jul16_Aug10,MoistMDryL,PC,ACEFK,SVR,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,Wet,Weak,SVR,LowNHighS,Down,Stability,DenvCyclone,Average,E_NE,XNIL
LessThanAve,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,Neutral,Average,PosToNeg,Weak,H,PartInhibit,Neutral,Down,Strong,Clear,Wet,Neutral,Average,Cloudy,Marked,N5GtLIGt_8,H,,WeakUp,,H,MarkedUpper,LittleChange,Weak,Weak,WeakPos,WeakUp,DCVZFavor,PartInhibit,XNIL,Jul16_Aug10,DryMMoistL,Clear,HI,SIG,Decreasing,LVorOther,Strong,Average,DecCapIncIns,Clear,Neutral,Weak,SIG,LowAtStation,WeakUp,Neutral,E_W_S,Average,E_NE,XNIL
LessThanAve,Steep,NWQuad,ModerateOrLe,CThruK,Wet,Average,SigPositive,Strong,H,,Neutral,Neutral,Weak,PC,Wet,Wet,Average,PC,Some,N5GtLIGt_8,H,Slight,StrongUp,Moving,H,NoMajor,Increasing,Weak,Weak,StrongPos,WeakUp,StrongWest,PartInhibit,SVR,Aug11_Aug20,DryMMoistL,PC,HI,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Cloudy,Dry,,SVR,LowMtsHighPl,WeakUp,Stability,MovingFtorOt,LessThanAve,E_NE,XNIL
MoreThanAve,CloseToDryAd,SWQuad,CloseToDryAd,CThruK,VeryWet,Dry,SigNegative,,G,PartInhibit,Down,Neutral,,Cloudy,Neutral,VeryWet,MoreUnstable,Cloudy,Some,LILt_8,G,Strong,Down,,G,NoMajor,LittleChange,Moderate,,Negative,Neutral,DCVZFavor,,SIG,Jun15_Jul1,MoistMDryL,PC,GJ,SIG,Increasing,LVorOther,Weak,MoreUnstable,IncCapDecIns,Cloudy,VeryWet,,SIG,LowEvrywhere,Neutral,Instability,DryLine,Average,WidespdDnsl,SIG
MoreThanAve,ModerateOrLe,AllElse,CloseToDryAd,CThruK,VeryWet,Average,NegToPos,Strong,CDEJ,PartInhibit,Neutral,Down,Strong,Clear,VeryWet,Wet,Average,Clear,Marked,LILt_8,E,Slight,WeakUp,,E,NoMajor,Increasing,Weak,Weak,WeakPos,Down,DCVZFavor,,XNIL,Jul16_Aug10,MoistMDryL,Clear,ACEFK,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,Clear,VeryWet,,XNIL,LowSHighN,Down,Stability,DryLine,Average,LV,XNIL
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Dry,VeryMoist,NegToPos,Strong,K,PartInhibit,Neutral,StrongUp,Weak,Clear,Neutral,Dry,Average,Clear,Marked,N1GtLIGt_4,K,Slight,StrongUp,QStationary,K,StrongFront,Decreasing,Weak,Weak,Negative,WeakUp,Westerly,,SVR,May15_Jun14,DryMMoistL,Clear,ACEFK,SIG,LittleChange,Westerly,Strong,Average,LittleChange,PC,Neutral,,SVR,Other,WeakUp,Neutral,MovingFtorOt,LessThanAve,SEQuad,XNIL
Average,Steep,NWQuad,CloseToDryAd,CThruK,VeryWet,Dry,SigPositive,,CDEJ,PartInhibit,Neutral,Neutral,,PC,VeryWet,Wet,MoreUnstable,Cloudy,,LILt_8,C,Strong,WeakUp,,C,MarkedUpper,LittleChange,Strong,Weak,WeakPos,Neutral,DCVZFavor,Stifling,XNIL,Jul16_Aug10,MoistMDryL,Clear,ACEFK,SVR,Decreasing,LVorOther,,MoreUnstable,DecCapIncIns,PC,Neutral,Weak,SVR,LowAtStation,Neutral,Neutral,E_W_S,Average,LongAnticyc,SVR
MoreThanAve,Steep,LV,Stable,CThruK,Neutral,VeryMoist,NegToPos,Weak,K,Stifling,Neutral,WeakUp,,Clear,Neutral,Neutral,MoreUnstable,Clear,,N5GtLIGt_8,K,Moderate,WeakUp,,K,MarkedUpper,Increasing,Moderate,,WeakPos,WeakUp,Other,PartInhibit,SVR,May15_Jun14,DryMMoistL,Clear,ACEFK,SIG,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Neutral,Weak,SVR,HighEvrywher,WeakUp,Neutral,,MoreThanAve,LongAnticyc,SIG
LessThanAve,ModerateOrLe,SWQuad,ModerateOrLe,AB,Neutral,Dry,LittleChange,Weak,ABI,PartInhibit,Neutral,Down,,Clear,Wet,Neutral,Average,Clear,,N1GtLIGt_4,A,Strong,Neutral,Other,A,StrongFront,Decreasing,Moderate,,Negative,Neutral,Other,,SVR,Jul2_Jul15,Other,Clear,ACEFK,SIG,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,Clear,Neutral,,SVR,LowSHighN,Neutral,Instability,DryLine,LessThanAve,DenvCyclone,SIG
Average,Steep,SWQuad,Steep,AB,Neutral,Average,NegToPos,Weak,ABI,PartInhibit,Neutral,Neutral,Weak,PC,Wet,Neutral,LessUnstable,Clear,Some,N1GtLIGt_4,A,,WeakUp,Other,A,StrongFront,LittleChange,Weak,Weak,Neutral,Neutral,Westerly,,SIG,Jun15_Jul1,Other,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,Clear,Neutral,,SIG,LowSHighN,Neutral,Instability,E_W_S,Average,SEQuad,XNIL
MoreThanAve,CloseToDryAd,LV,ModerateOrLe,CThruK,Wet,Average,LittleChange,Weak,CDEJ,,Down,Neutral,Strong,Clear,VeryWet,VeryWet,Average,PC,Marked,N1GtLIGt_4,J,Moderate,Neutral,,J,NoMajor,LittleChange,Moderate,Weak,Neutral,Neutral,StrongWest,PartInhibit,SIG,Jun15_Jul1,MoistMDryL,Clear,GJ,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,Clear,Neutral,Strong,SIG,LowAtStation,Neutral,Stability,DryLine,LessThanAve,LV,XNIL
LessThanAve,Steep,NWQuad,CloseToDryAd,CThruK,Wet,Dry,SigPositive,Strong,CDEJ,PartInhibit,Neutral,Down,Weak,Clear,Wet,Wet,MoreUnstable,Clear,Marked,N1GtLIGt_4,C,,Down,QStationary,C,OtherRapid,Decreasing,Weak,Strong,Negative,Neutral,DCVZFavor,PartInhibit,SVR,Jul16_Aug10,MoistMDryL,Clear,ACEFK,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,Clear,Neutral,,SVR,LowAtStation,Neutral,Instability,E_W_N,MoreThanAve,LongAnticyc,XNIL
MoreThanAve,Steep,SWQuad,Steep,CThruK,Dry,Dry,SigPositive,Weak,ABI,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Dry,Average,Clear,Some,N5GtLIGt_8,I,,StrongUp,QStationary,I,MarkedUpper,Increasing,Weak,Weak,WeakPos,WeakUp,DCVZFavor,TotalInhibit,SVR,Jul16_Aug10,DryMMoistL,PC,HI,SIG,Increasing,LVorOther,Strong,Average,IncCapDecIns,PC,Dry,Weak,SVR,LowSHighN,WeakUp,Neutral,Other,Average,DenvCyclone,SIG
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Wet,Average,NegToPos,Weak,K,,WeakUp,StrongUp,,Clear,VeryWet,VeryWet,LessUnstable,Clear,,N1GtLIGt_4,K,,StrongUp,Moving,K,StrongFront,Increasing,Weak,Strong,StrongPos,StrongUp,Other,Stifling,SIG,May15_Jun14,MoistMDryL,Clear,ACEFK,XNIL,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,PC,Wet,Strong,SIG,LowNHighS,StrongUp,Stability,Other,LessThanAve,LongAnticyc,XNIL
Average,ModerateOrLe,NWQuad,ModerateOrLe,CThruK,Neutral,Dry,SigPositive,,K,PartInhibit,StronUp,Neutral,Weak,Clear,Neutral,Neutral,MoreUnstable,PC,,LILt_8,K,Strong,Neutral,Moving,K,StrongFront,Increasing,Weak,Weak,WeakPos,Neutral,DCVZFavor,,SIG,Aug20_Sep15,DryMMoistL,Clear,ACEFK,SIG,Increasing,Westerly,Weak,MoreUnstable,IncCapDecIns,Clear,Wet,Weak,SIG,LowNHighS,Neutral,Stability,MovingFtorOt,LessThanAve,WidespdDnsl,SIG
MoreThanAve,ModerateOrLe,SWQuad,ModerateOrLe,AB,Neutral,Average,LittleChange,Strong,ABI,PartInhibit,Down,Down,Strong,Clear,Neutral,Neutral,MoreUnstable,Clear,Marked,N1GtLIGt_4,B,,Neutral,Other,B,NoMajor,Increasing,Weak,Strong,WeakPos,Down,StrongWest,PartInhibit,SIG,Jun15_Jul1,MoistMDryL,Clear,B,SIG,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,Clear,Dry,Strong,SIG,LowMtsHighPl,Down,Neutral,DenvCyclone,Average,DenvCyclone,SIG
Average,Steep,NWQuad,ModerateOrLe,AB,VeryWet,Dry,PosToNeg,Weak,ABI,Stifling,WeakUp,StrongUp,Strong,PC,VeryWet,VeryWet,LessUnstable,Cloudy,Marked,LILt_8,B,,Down,Other,B,StrongFront,Decreasing,Weak,Weak,Negative,Neutral,StrongWest,PartInhibit,SIG,Aug11_Aug20,DryMMoistL,PC,B,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,Cloudy,Neutral,Weak,SIG,HighEvrywher,Neutral,Stability,DenvCyclone,Average,DenvCyclone,XNIL
MoreThanAve,ModerateOrLe,AllElse,Steep,CThruK,Neutral,Average,SigNegative,Strong,CDEJ,Stifling,Neutral,StrongUp,,Clear,Neutral,Neutral,Average,Clear,Marked,LILt_8,E,Slight,Down,,E,NoMajor,Decreasing,Weak,,Negative,Neutral,Westerly,PartInhibit,SIG,Jun15_Jul1,MoistMDryL,Clear,ACEFK,XNIL,Increasing,Westerly,Strong,Average,IncCapDecIns,Clear,Neutral,Strong,SIG,LowAtStation,Neutral,Stability,Other,MoreThanAve,LV,XNIL
LessThanAve,CloseToDryAd,SWQuad,Stable,AB,Wet,Average,PosToNeg,Weak,ABI,PartInhibit,Neutral,Neutral,Strong,PC,Dry,VeryWet,Average,Clear,Some,N5GtLIGt_8,A,,StrongUp,Other,A,MarkedUpper,Decreasing,Moderate,Strong,Neutral,WeakUp,StrongWest,TotalInhibit,SIG,Jul2_Jul15,DryMMoistL,PC,ACEFK,XNIL,Decreasing,Westerly,Weak,Average,DecCapIncIns,PC,Neutral,Strong,SIG,HighEvrywher,WeakUp,Instability,DenvCyclone,LessThanAve,SEQuad,XNIL
LessThanAve,Steep,LV,ModerateOrLe,CThruK,VeryWet,VeryMoist,PosToNeg,Weak,F,PartInhibit,Neutral,Down,,PC,Dry,VeryWet,Average,PC,Some,N1GtLIGt_4,F,,StrongUp,,F,NoMajor,LittleChange,Weak,Strong,Neutral,Neutral,Other,PartInhibit,SIG,Jul16_Aug10,Other,PC,ACEFK,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,PC,Neutral,Strong,SIG,HighEvrywher,Neutral,Stability,MovingFtorOt,LessThanAve,LV,XNIL
Average,Steep,SWQuad,ModerateOrLe,AB,Dry,VeryMoist,PosToNeg,Weak,ABI,PartInhibit,Neutral,WeakUp,Strong,Clear,Dry,Dry,LessUnstable,Clear,Marked,LIGt0,B,,StrongUp,Moving,B,NoMajor,Decreasing,Unfavorable,Weak,Negative,WeakUp,StrongWest,PartInhibit,SIG,Aug11_Aug20,DryMMoistL,Clear,B,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,Clear,Neutral,Weak,SIG,LowNHighS,WeakUp,Stability,E_W_N,Average,DenvCyclone,XNIL
MoreThanAve,ModerateOrLe,LV,Steep,CThruK,Dry,VeryMoist,SigPositive,Weak,F,PartInhibit,Neutral,Neutral,,PC,Neutral,Dry,Average,PC,Some,N1GtLIGt_4,F,Slight,Neutral,,F,NoMajor,LittleChange,Moderate,,WeakPos,Neutral,Other,PartInhibit,SIG,Jul16_Aug10,Other,PC,ACEFK,SVR,LittleChange,LVorOther,Strong,Average,LittleChange,PC,Dry,Weak,SVR,HighEvrywher,Neutral,Instability,,Average,DenvCyclone,SVR
LessThanAve,ModerateOrLe,LV,Stable,CThruK,Wet,Average,LittleChange,Weak,CDEJ,PartInhibit,Neutral,Neutral,,Clear,Neutral,Neutral,Average,PC,Some,N1GtLIGt_4,J,Slight,Down,,J,NoMajor,Increasing,Weak,,WeakPos,Neutral,Other,,SIG,Jul16_Aug10,Other,Clear,GJ,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Clear,Dry,,SIG,LowEvrywhere,Neutral,Instability,DryLine,LessThanAve,LV,XNIL
Average,Steep,AllElse,CloseToDryAd,CThruK,Dry,Dry,NegToPos,Weak,CDEJ,,StronUp,Neutral,Weak,Cloudy,Neutral,Dry,Average,Clear,Marked,N1GtLIGt_4,C,,Neutral,,C,NoMajor,Increasing,Weak,Weak,WeakPos,StrongUp,DCVZFavor,Stifling,SIG,Aug20_Sep15,MoistMDryL,Cloudy,ACEFK,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Cloudy,Dry,,SIG,LowNHighS,StrongUp,Neutral,E_W_N,Average,LongAnticyc,XNIL
Average,CloseToDryAd,NWQuad,Steep,CThruK,VeryWet,Average,LittleChange,Weak,K,PartInhibit,Neutral,Neutral,Strong,Cloudy,Dry,VeryWet,Average,Clear,Marked,N1GtLIGt_4,K,Strong,WeakUp,Other,K,MarkedUpper,LittleChange,Moderate,Strong,Neutral,Neutral,StrongWest,,SVR,May15_Jun14,Other,Cloudy,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Cloudy,Neutral,,SVR,Other,Neutral,Neutral,MovingFtorOt,Average,LongAnticyc,XNIL
MoreThanAve,ModerateOrLe,SWQuad,Stable,CThruK,Dry,Dry,SigPositive,Weak,CDEJ,,Down,WeakUp,Weak,PC,Neutral,Dry,Average,PC,Marked,N5GtLIGt_8,C,Moderate,Down,Other,C,MarkedUpper,Increasing,Moderate,Weak,Negative,Neutral,Other,,SIG,Aug20_Sep15,MoistMDryL,Clear,ACEFK,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,Clear,Dry,Weak,SIG,LowAtStation,Neutral,Neutral,E_W_S,Average,LongAnticyc,XNIL
MoreThanAve,ModerateOrLe,NWQuad,CloseToDryAd,CThruK,Wet,Dry,NegToPos,Strong,CDEJ,TotalInhibit,Neutral,StrongUp,,PC,Wet,VeryWet,Average,PC,,N5GtLIGt_8,D,Moderate,StrongUp,QStationary,D,MarkedUpper,Decreasing,Strong,,WeakPos,StrongUp,Other,,SVR,Jul2_Jul15,DryMMoistL,PC,D,SIG,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Cloudy,Dry,,SVR,LowAtStation,StrongUp,Stability,DenvCyclone,MoreThanAve,SEQuad,SIG
MoreThanAve,CloseToDryAd,SWQuad,Steep,CThruK,Dry,Dry,LittleChange,Strong,CDEJ,PartInhibit,StronUp,Neutral,Weak,PC,Neutral,Dry,LessUnstable,PC,Marked,N1GtLIGt_4,C,Moderate,Down,Other,C,NoMajor,Increasing,Moderate,Weak,WeakPos,Down,Westerly,PartInhibit,SIG,May15_Jun14,MoistMDryL,PC,ACEFK,SVR,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Dry,,SVR,LowEvrywhere,Down,Stability,E_W_N,Average,LongAnticyc,SVR
LessThanAve,ModerateOrLe,SWQuad,Stable,CThruK,Wet,Dry,NegToPos,,K,,Neutral,Down,Weak,Clear,Neutral,Wet,MoreUnstable,PC,Marked,N1GtLIGt_4,K,Strong,StrongUp,Other,K,MarkedUpper,Increasing,Strong,,WeakPos,Down,DCVZFavor,,SIG,May15_Jun14,Other,Clear,ACEFK,SVR,Increasing,Westerly,Weak,MoreUnstable,IncCapDecIns,Clear,VeryWet,Weak,SVR,LowNHighS,Down,Instability,Other,LessThanAve,DenvCyclone,SVR
MoreThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,VeryWet,Average,SigPositive,Strong,CDEJ,Stifling,Neutral,Down,Weak,PC,Wet,VeryWet,LessUnstable,PC,Some,N1GtLIGt_4,E,Slight,WeakUp,,E,OtherRapid,Increasing,Moderate,Weak,WeakPos,Neutral,StrongWest,Stifling,SVR,Aug20_Sep15,MoistMDryL,Cloudy,ACEFK,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,VeryWet,Weak,SVR,LowSHighN,Neutral,Stability,,MoreThanAve,E_NE,XNIL
MoreThanAve,Steep,SWQuad,Stable,CThruK,Neutral,Average,SigPositive,Weak,H,Stifling,Down,Neutral,Weak,PC,Neutral,Neutral,LessUnstable,PC,Some,N1GtLIGt_4,H,,StrongUp,Moving,H,NoMajor,Increasing,Weak,,Neutral,Neutral,StrongWest,TotalInhibit,XNIL,Jun15_Jul1,Other,Clear,HI,XNIL,Increasing,LVorOther,Weak,LessUnstable,IncCapDecIns,PC,Wet,Weak,XNIL,LowMtsHighPl,Neutral,Stability,,Average,SEQuad,XNIL
MoreThanAve,Steep,LV,Steep,CThruK,Wet,Average,LittleChange,Weak,G,TotalInhibit,WeakUp,Neutral,Strong,Clear,Wet,Wet,MoreUnstable,Clear,Marked,N1GtLIGt_4,G,,WeakUp,,G,StrongFront,Increasing,Weak,Strong,StrongPos,WeakUp,StrongWest,PartInhibit,SIG,Jun15_Jul1,MoistMDryL,Clear,GJ,SVR,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Wet,,SVR,LowEvrywhere,WeakUp,Stability,,MoreThanAve,WidespdDnsl,SVR
Average,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,Neutral,Average,SigPositive,Weak,H,PartInhibit,Down,Down,Strong,Cloudy,Neutral,Dry,Average,Cloudy,Marked,LIGt0,H,,StrongUp,,H,MarkedUpper,Increasing,Unfavorable,Weak,StrongPos,Down,StrongWest,TotalInhibit,SIG,May15_Jun14,Other,Clear,HI,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,PC,Dry,,SIG,LowSHighN,Down,Neutral,MovingFtorOt,Average,E_NE,XNIL
MoreThanAve,ModerateOrLe,SWQuad,ModerateOrLe,CThruK,Neutral,Average,NegToPos,Weak,K,PartInhibit,Down,Neutral,,Cloudy,Dry,Dry,Average,Clear,Marked,N1GtLIGt_4,K,Strong,Neutral,,K,StrongFront,LittleChange,Moderate,Weak,WeakPos,Neutral,Other,,SVR,Aug11_Aug20,Other,PC,ACEFK,SVR,Increasing,Westerly,Strong,Average,IncCapDecIns,Cloudy,Wet,Weak,SVR,LowNHighS,Neutral,Stability,DenvCyclone,Average,WidespdDnsl,SVR
LessThanAve,Steep,LV,Steep,CThruK,Neutral,Dry,NegToPos,Strong,CDEJ,PartInhibit,Down,Neutral,,PC,Dry,Dry,Average,PC,Some,N1GtLIGt_4,C,Moderate,Down,,C,NoMajor,LittleChange,Weak,Weak,Neutral,Down,Other,,XNIL,Jul16_Aug10,MoistMDryL,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,PC,Wet,,XNIL,LowEvrywhere,Down,Stability,DryLine,LessThanAve,LV,XNIL
LessThanAve,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,VeryWet,Average,LittleChange,Weak,CDEJ,PartInhibit,WeakUp,Neutral,Weak,Clear,Dry,VeryWet,MoreUnstable,PC,,LILt_8,C,Slight,StrongUp,,C,OtherRapid,LittleChange,Weak,Weak,Neutral,WeakUp,Other,Stifling,SVR,May15_Jun14,Other,Clear,ACEFK,XNIL,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,Clear,Neutral,Strong,SVR,LowNHighS,WeakUp,Neutral,E_W_N,MoreThanAve,LongAnticyc,XNIL
LessThanAve,Steep,SWQuad,CloseToDryAd,CThruK,Dry,Average,SigNegative,Strong,CDEJ,,Neutral,WeakUp,Strong,Clear,Neutral,Dry,Average,PC,Some,N5GtLIGt_8,E,Slight,StrongUp,Moving,E,NoMajor,Increasing,Moderate,Strong,StrongPos,WeakUp,DCVZFavor,PartInhibit,SVR,Jul16_Aug10,MoistMDryL,Clear,ACEFK,XNIL,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,Clear,Dry,Weak,SVR,LowNHighS,WeakUp,Neutral,,LessThanAve,WidespdDnsl,XNIL
LessThanAve,ModerateOrLe,AllElse,CloseToDryAd,CThruK,VeryWet,Dry,PosToNeg,Strong,CDEJ,PartInhibit,StronUp,Down,,Clear,Wet,Wet,LessUnstable,PC,Some,N1GtLIGt_4,E,Slight,StrongUp,,E,NoMajor,Decreasing,Weak,Weak,Neutral,Neutral,Other,,SVR,Jul16_Aug10,DryMMoistL,Clear,ACEFK,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Clear,Wet,Weak,SVR,LowSHighN,Neutral,Stability,,LessThanAve,LV,XNIL
